date_dt,province,confirmed,deaths,recovered,Lat,Long,size
203,2020-01-24,Shanxi,1,0,0,37.5777,112.2922,1.0
204,2020-01-24,Sichuan,15,0,0,30.6171,102.7103,3.872983346207417
205,2020-01-24,"Snohomish County, WA",0,0,0,48.033,-121.8339,0.0
206,2020-01-24,"Sonoma County, CA",0,0,0,38.578,-122.9888,0.0
207,2020-01-24,South Australia,0,0,0,-34.9285,138.6007,0.0
208,2020-01-24,Taiwan,3,0,0,23.7,121.0,1.7320508075688772
209,2020-01-24,Tasmania,0,0,0,-41.4545,145.9707,0.0
210,2020-01-24,"Tempe, AZ",0,0,0,33.4255,-111.94,0.0
211,2020-01-24,Tianjin,8,0,0,39.3054,117.323,2.8284271247461903
212,2020-01-24,Tibet,0,0,0,31.6927,88.0924,0.0
213,2020-01-24,"Toronto, ON",0,0,0,43.6532,-79.3832,0.0
214,2020-01-24,"Travis, CA (From Diamond Princess)",0,0,0,38.2721,-121.9399,0.0
215,2020-01-24,"Umatilla, OR",0,0,0,45.775,-118.7606,0.0
216,2020-01-24,Unassigned Location (From Diamond Princess),0,0,0,35.4437,139.638,0.0
217,2020-01-24,Victoria,0,0,0,-37.8136,144.9631,0.0
218,2020-01-24,Western Australia,0,0,0,-31.9505,115.8605,0.0
219,2020-01-24,Xinjiang,2,0,0,41.1129,85.2401,1.4142135623730951
220,2020-01-24,Yunnan,5,0,0,24.974,101.48700000000001,2.23606797749979
221,2020-01-24,Zhejiang,43,0,1,29.1832,120.0934,6.557438524302
222,2020-01-25," Montreal, QC",0,0,0,45.5017,-73.5673,0.0
223,2020-01-25,Anhui,39,0,0,31.8257,117.2264,6.244997998398398
224,2020-01-25,Beijing,41,0,2,40.1824,116.4142,6.4031242374328485
225,2020-01-25,"Boston, MA",0,0,0,42.3601,-71.0589,0.0
226,2020-01-25,British Columbia,0,0,0,49.2827,-123.1207,0.0
227,2020-01-25,Chongqing,57,0,0,30.0572,107.874,7.54983443527075
228,2020-01-25,"Cook County, IL",1,0,0,41.8781,-87.6298,1.0
229,2020-01-25,Diamond Princess cruise ship,0,0,0,35.4437,139.638,0.0
230,2020-01-25,From Diamond Princess,0,0,0,35.4437,139.638,0.0
231,2020-01-25,Fujian,18,0,0,26.0789,117.9874,4.242640687119285
232,2020-01-25,Gansu,4,0,0,36.0611,103.8343,2.0
233,2020-01-25,"Grafton County, NH",0,0,0,43.9088,-71.82600000000001,0.0
234,2020-01-25,Guangdong,78,0,2,23.3417,113.4244,8.831760866327848
235,2020-01-25,Guangxi,23,0,0,23.8298,108.7881,4.795831523312719
236,2020-01-25,Guizhou,4,0,0,26.8154,106.8748,2.0
237,2020-01-25,Hainan,19,0,0,19.1959,109.7453,4.358898943540674
238,2020-01-25,Hebei,8,1,0,38.0428,114.5149,2.8284271247461903
239,2020-01-25,Heilongjiang,9,1,0,47.861999999999995,127.7615,3.0
240,2020-01-25,Henan,32,0,0,33.882020000000004,113.61399999999999,5.656854249492381
